Title	Python (P_QFT_D) vs. Matlab (M_QFT_D) vs. Qiskit (Qkd*)																	
Method:	deep QFT circuit using dense matrices																	
Y	time	s	log															
DIM	P_QFT_D	M_QFT_D	Qkd	Qkd_GPU														
1	0.000171688000000003	0.034125	0.02	0.27														
2	0.000495560000000062	0.038293	0.01	0.01														
3	0.00111446299999995	0.012424	0.01	0.01														
4	0.00255909800000032	0.004842	0.02	0.01														
5	0.00523008600000008	0.003616	0.02	0.03														
6	0.251751342	0.015691	0.02	0.03														
7	0.419473701	0.027721	0.03	0.03														
8	2.021285453	0.057505	0.05	0.04														
9	8.405044653	0.13041	0.05	0.05														
10	36.082557429	0.45921	0.06	0.06														
11	110.987955965	3.1274	0.07	0.07														
12	190.025001307	13.381	0.08	0.08														
13	470.015500905	57.6189	0.1	0.1														
14	1536.566247064	256.1021	0.12	0.11														
15	6374.234840733	1144.3	0.12	0.12														
16		5124.4	0.14	0.14														
17			0.16	0.15														
18			0.21	0.17														
19			0.21	0.19														
20			0.25	0.21														
21			0.44	0.25														
22			0.6	0.28														
23			1	0.33														
24			1.87	0.39														
25			3.45	0.52														
26			6.91	0.78														
27			15.23	1.25														
28			30.38	2.2														
29			71.39															
30			137.42															
31			248.66															
32			501.99															
																		
																		
Title	Python (P_QFT_S) vs. Matlab (M_QFT_S)																	
Method:	deep QFT circuit using sparse matrices																	
Y	time	s	log															
DIM	P_QFT_S	M_QFT_S																
1	0.000114801000000053	0.005329																
2	0.00327578299999987	0.012179																
3	0.00833945800000002	0.008713																
4	0.0183297499999999	0.004879																
5	0.0363350040000001	0.002339																
6	0.0593096430000002	0.001902																
7	0.0949551819999996	0.002868																
8	0.156920777	0.004134																
9	0.264739497999997	0.006213																
10	0.589188014000001	0.009679																
11	3.00299739499999	0.013955																
12	11.594359663	0.022378																
13	54.0323794180001	0.040324																
14	244.39071911	0.099358																
15	1073.073620707	0.17838																
16	4817.875621269	0.37456																
17		0.80855																
18		2.0682																
19		5.1055																
20		13.385																
21		42.7997																
22		98.7821																
23		234.9669																
24		543.6723																
25		1226.9																
26		2686.8																
27		5854.8																
28		12757																
29		28338																
																		
Title	Python (P_SQFT_S) vs.Matlab (M_SQFT_S)																	
Method:	SQFT using sparse matrices																	
Y	time	s	log															
DIM	P_SQFT_S	M_SQFT_S																
1	0.000161380000000211	0.016163																
2	0.00236104599999987	0.007696																
3	0.00597309400000023	0.008623																
4	0.0109329669999996	0.003463																
5	0.0174122899999998	0.003767																
6	0.0253591050000002	0.000887																
7	0.0359069960000005	0.001065																
8	0.054452779	0.00148																
9	0.088650960999999	0.001974																
10	0.207172559	0.00261																
11	0.959027596999988	0.004481																
12	3.77286263000002	0.005415																
13	16.480354282	0.008943																
14	69.981933476	0.016587																
15	294.031957383	0.03441																
16	1295.963723542	0.06892																
17		0.13986																
18		0.33738																
19		0.91824																
20		1.7649																
21		6.2733																
22		15.908																
23		36.146																
24		77.918																
25		167.81																
26		353.14																
27		755.89																
28		1549																
29		3338.2																
30		7098.3																
																		
Title	Runtime summary																	
Method:	all available																	
Y	time	s	log															
DIM	P_QFT_D	P_SQFT_D	P_QFT_S	P_SQFT_S	M_QFT_D	M_QFT_S	M_FFT-DIF	M_SQFT_S	M_SQFT_VEC_V1	M_SQFT_VEC_V2	M_SQFT_VEC_V2_GPU	M_FFT	QK_state_cpu	QK_state_gpu	PL_default	PL_lightning	PL_gpu	
1	0.000171688000000003	0.00016741900000028	0.000114801000000053	0.000161380000000211	0.034125	0.005329	0.01446	0.016163	0.01091	0.004821	0.81282	0.016289	0.003184	0.19	0.04	0.03	0.21	
2	0.000495560000000062	0.000480866999999829	0.00327578299999987	0.00236104599999987	0.038293	0.012179	0.011334	0.007696	0.013145	0.011492	0.04068	0.000212	0.004538	0.01	0.04	0.02	0.02	
3	0.00111446299999995	0.000985757000000032	0.00833945800000002	0.00597309400000023	0.012424	0.008713	0.001365	0.008623	0.011986	0.004344	0.03313	0.000193	0.004829	0.01	0.05	0.03	0.04	
4	0.00255909800000032	0.00176221899999973	0.0183297499999999	0.0109329669999996	0.004842	0.004879	0.00073	0.003463	0.003029	0.00374	0.00476	0.000233	0.004641	0.01	0.07	0.05	0.05	
5	0.00523008600000008	0.00295303599999963	0.0363350040000001	0.0174122899999998	0.003616	0.002339	0.002703	0.003767	0.003331	0.00314	0.00895	0.001026	0.005257	0.02	0.1	0.06	0.07	
6	0.251751342	0.085738761	0.0593096430000002	0.0253591050000002	0.015691	0.001902	0.001454	0.000887	0.000544	0.000389	0.00383	6.20E-05	0.00584	0.02	0.13	0.08	0.09	
7	0.419473701	0.214264434	0.0949551819999996	0.0359069960000005	0.027721	0.002868	0.00288	0.001065	0.000746	0.000377	0.00409	7.10E-05	0.00641	0.03	0.17	0.11	0.12	
8	2.021285453	0.865781939	0.156920777	0.054452779	0.057505	0.004134	0.005254	0.00148	0.001588	0.00052	0.00464	8.80E-05	0.009897	0.04	0.22	0.14	0.16	
9	8.405044653	2.041178836	0.264739497999997	0.088650960999999	0.13041	0.006213	0.010589	0.001974	0.001884	0.000887	0.00527	0.000151	0.014935	0.05	0.27	0.18	0.19	
10	36.082557429	8.659485035	0.589188014000001	0.207172559	0.45921	0.009679	0.019629	0.00261	0.002726	0.001179	0.00588	0.000142	0.010222	0.06	0.34	0.22	0.24	
11	110.987955965	32.036285731	3.00299739499999	0.959027596999988	3.1274	0.013955	0.037566	0.004481	0.004695	0.00178	0.00636	0.000216	0.014319	0.07	0.41	0.27	0.29	
12	190.025001307	52.17048939	11.594359663	3.77286263000002	13.381	0.022378	0.072724	0.005415	0.006895	0.002326	0.00785	0.000299	0.015214	0.08	0.49	0.32	0.34	
13	470.015500905	113.970224151	54.0323794180001	16.480354282	57.6189	0.040324	0.1435	0.008943	0.011265	0.003157	0.00793	0.000464	0.017631	0.09	0.77	0.37	0.4	
